barrio,numero_plazas
acacias,3520
adelfas,2336
almagro,2848
almenara,3525
almendrales,2564
arapiles,2019
arguelles,2147
atalaya,131
atocha,1446
bellas vistas,2526
berruguete,1854
carmenes,234
casa de campo,4446
castellana,2366
castilla,3581
castillejos,2926
chopera,1664
ciudad jardin,3212
ciudad universitaria,2216
colina,1006
concepcion,2509
cortes,550
cuatro caminos,3828
delicias,3236
el viso,5401
embajadores,2071
estrella,3469
fuente del berro,2069
gaztambide,2049
goya,2764
guindalera,6157
hispanoamerica,6079
ibiza,2002
imperial,2908
jeronimos,1851
justicia,1399
la paz,5400
legazpi,3011
lista,1733
moscardo,4536
nino jesus,2547
nueva espana,6385
pacifico,2575
palacio,1858
palos de moguer,2835
pilar,7076
pradolongo,2359
prosperidad,4311
pueblo nuevo,1139
puerta del angel,5904
quintana,1792
recoletos,2349
rios rosas,3001
san isidro,462
san juan bautista,2440
san pascual,3535
sol,253
trafalgar,2198
universidad,1409
valdeacederas,2163
valdezarza,1641
vallehermoso,3165
ventas,6639
